phase,r,targetN,sampled_states,avg_capacity_util,avg_byte_util,avg_total_byte_util_worst,avg_transient_extra_bytes,max_transient_extra_bytes,avg_B,avg_B_over_N_1_over_r,max_capacity_util,min_capacity_util,max_byte_util,min_byte_util,B_at_targetN,N_1_over_r_est_at_targetN,B_over_N_1_over_r_at_targetN,payload_bytes_at_targetN,capacity_slots_at_targetN,capacity_bytes_at_targetN,pointer_bytes_at_targetN,resident_bytes_at_targetN,slack_slots_at_targetN,slack_bytes_at_targetN,next_grow_extra_bytes_at_targetN,next_shrink_extra_bytes_at_targetN,adjust_worst_bytes_at_targetN,total_worst_bytes_at_targetN,capacity_util_at_targetN,byte_util_at_targetN,total_byte_util_worst_at_targetN
shrink,4,10000,10000,99.606575,92.544781,92.482173,5.552800,16384,15.790000,2.060755,100.000000,25.000000,98.116170,1.923077,16,10.000000,1.600000,40000,10000,40000,768,40768,0,0,64,0,64,40832,100.000000,98.116170,97.962382
grow,4,20000,20000,99.865579,96.788380,96.730971,11.467200,17152,14.308800,1.502590,100.000000,50.000000,99.049128,3.846154,16,11.892071,1.345434,80000,20000,80000,768,80768,0,0,64,0,64,80832,100.000000,99.049128,98.970705
shrink,4,20000,20000,99.777309,95.590804,95.550429,6.309200,16384,15.895000,1.757617,100.000000,25.000000,99.049128,1.923077,16,11.892071,1.345434,80000,20000,80000,768,80768,0,0,64,0,64,80832,100.000000,99.049128,98.970705
grow,4,50000,50000,99.932491,98.352130,98.324059,11.690880,17152,15.323520,1.310114,100.000000,50.000000,99.617469,3.846154,16,14.953488,1.069984,200000,50000,200000,768,200768,0,0,64,0,64,200832,100.000000,99.617469,99.585723
shrink,4,50000,50000,99.897183,97.873099,97.851585,7.377440,16384,15.958000,1.412125,100.000000,25.000000,99.617469,1.923077,16,14.953488,1.069984,200000,50000,200000,768,200768,0,0,64,0,64,200832,100.000000,99.617469,99.585723
grow,4,100000,100000,99.957668,98.954292,98.937938,14.096960,263680,21.176000,1.467242,100.000000,50.000000,99.707887,3.846154,32,17.782794,1.799492,400000,100000,400000,1536,401536,0,0,128,0,128,401664,100.000000,99.617469,99.585723
shrink,4,100000,100000,99.917876,98.186110,98.175341,5.365520,131072,31.323800,2.282849,100.000000,25.000000,99.617469,1.923077,32,17.782794,1.799492,400000,100000,400000,1536,401536,0,0,128,0,128,401664,100.000000,99.617469,99.585723
grow,4,200000,200000,99.973463,99.339088,99.329875,13.532320,263680,26.588000,1.551541,100.000000,50.000000,99.808368,3.846154,32,21.147425,1.513187,800000,200000,800000,1536,801536,0,0,128,0,128,801664,100.000000,99.808368,99.792432
shrink,4,200000,200000,99.953567,98.954997,98.948481,7.229320,131072,31.661900,1.959345,100.000000,25.000000,99.808368,1.923077,32,21.147425,1.513187,800000,200000,800000,1536,801536,0,0,128,0,128,801664,100.000000,99.808368,99.792432
grow,4,500000,500000,99.986545,99.662519,99.658324,12.423744,263680,29.835200,1.418107,100.000000,50.000000,99.923259,3.846154,32,26.591479,1.203393,2000000,500000,2000000,1536,2001536,0,0,128,0,128,2001664,100.000000,99.923259,99.916869
shrink,4,500000,500000,99.978586,99.508883,99.505750,7.577552,131072,31.864760,1.581229,100.000000,25.000000,99.923259,1.923077,32,26.591479,1.203393,2000000,500000,2000000,1536,2001536,0,0,128,0,128,2001664,100.000000,99.923259,99.916869
grow,4,1000000,1000000,99.992198,99.803584,99.801288,12.052896,263680,30.917600,1.256030,100.000000,50.000000,99.961615,3.846154,32,31.622777,1.011929,4000000,1000000,4000000,1536,4001536,0,0,128,0,128,4001664,100.000000,99.961615,99.958417
shrink,4,1000000,1000000,99.988219,99.726766,99.724998,7.692264,131072,31.932380,1.337591,100.000000,25.000000,99.961615,1.923077,32,31.622777,1.011929,4000000,1000000,4000000,1536,4001536,0,0,128,0,128,4001664,100.000000,99.961615,99.958417
grow,4,2000000,2000000,99.995045,99.875047,99.873773,14.216976,4197376,46.681584,1.523485,100.000000,50.000000,99.963392,3.846154,64,37.606031,1.701855,8000000,2000000,8000000,3072,8003072,0,0,256,0,256,8003328,100.000000,99.961615,99.958417
shrink,4,2000000,2000000,99.990838,99.781527,99.780618,7.222004,1048576,62.917630,2.175935,100.000000,25.000000,99.961615,1.923077,64,37.606031,1.701855,8000000,2000000,8000000,3072,8003072,0,0,256,0,256,8003328,100.000000,99.961615,99.958417
grow,4,5000000,5000000,99.997441,99.935371,99.934808,12.925190,4197376,57.072634,1.506318,100.000000,50.000000,99.984642,3.846154,64,47.287080,1.353435,20000000,5000000,20000000,3072,20003072,0,0,256,0,256,20003328,100.000000,99.984642,99.983363
shrink,4,5000000,5000000,99.995758,99.897963,99.897544,7.764680,1048576,63.567052,1.767298,100.000000,25.000000,99.984642,1.923077,64,47.287080,1.353435,20000000,5000000,20000000,3072,20003072,0,0,256,0,256,20003328,100.000000,99.984642,99.983363
grow,4,10000000,10000000,99.998502,99.962145,99.961843,12.392989,4197376,60.536317,1.368334,100.000000,50.000000,99.992321,3.846154,64,56.234133,1.138099,40000000,10000000,40000000,3072,40003072,0,0,256,0,256,40003328,100.000000,99.992321,99.991681
shrink,4,10000000,10000000,99.997661,99.943440,99.943211,7.843991,1048576,63.783526,1.498824,100.000000,25.000000,99.992321,1.923077,64,56.234133,1.138099,40000000,10000000,40000000,3072,40003072,0,0,256,0,256,40003328,100.000000,99.992321,99.991681
grow,5,1000,1000,99.323541,82.164818,81.683507,11.536000,1024,3.936000,1.214478,100.000000,50.000000,93.984962,2.941176,4,3.981072,1.004755,4000,1000,4000,256,4256,0,0,16,0,16,4272,100.000000,93.984962,93.632959
shrink,5,1000,1000,99.084899,81.778807,81.320449,8.264000,1024,4.000000,1.253510,100.000000,25.000000,93.984962,1.470588,4,3.981072,1.004755,4000,1000,4000,256,4256,0,0,16,0,16,4272,100.000000,93.984962,93.632959
grow,5,2000,2000,99.543178,86.984980,86.648567,13.552000,4608,5.920000,1.525928,100.000000,50.000000,94.117647,2.941176,8,4.573051,1.749379,8000,2000,8000,512,8512,0,0,32,0,32,8544,100.000000,93.984962,93.632959
shrink,5,2000,2000,99.093126,81.835063,81.640353,5.892000,2048,7.938000,2.146194,100.000000,25.000000,93.984962,1.470588,8,4.573051,1.749379,8000,2000,8000,512,8512,0,0,32,0,32,8544,100.000000,93.984962,93.632959
grow,5,5000,5000,99.753215,92.483709,92.304950,12.076800,4608,7.168000,1.556216,100.000000,50.000000,97.503900,2.941176,8,5.492803,1.456451,20000,5000,20000,512,20512,0,0,32,0,32,20544,100.000000,97.503900,97.352025
shrink,5,5000,5000,99.573194,90.423743,90.298947,6.913600,2048,7.975200,1.804323,100.000000,25.000000,97.503900,1.470588,8,5.492803,1.456451,20000,5000,20000,512,20512,0,0,32,0,32,20544,100.000000,97.503900,97.352025
grow,5,10000,10000,99.852361,95.347387,95.237597,13.011200,16384,7.584000,1.452710,100.000000,50.000000,98.736177,2.941176,8,6.309573,1.267915,40000,10000,40000,512,40512,0,0,32,0,32,40544,100.000000,98.736177,98.658248
shrink,5,10000,10000,99.762351,94.317404,94.232805,8.679200,16384,7.987600,1.576763,100.000000,25.000000,98.736177,1.470588,8,6.309573,1.267915,40000,10000,40000,512,40512,0,0,32,0,32,40544,100.000000,98.736177,98.658248
grow,5,20000,20000,99.914054,97.222246,97.156453,13.388800,16384,7.792000,1.313634,100.000000,50.000000,99.364070,2.941176,8,7.247797,1.103784,80000,20000,80000,512,80512,0,0,32,0,32,80544,100.000000,99.364070,99.324593
shrink,5,20000,20000,99.869049,96.707255,96.653310,9.472400,16384,7.993800,1.375661,100.000000,25.000000,99.364070,1.470588,8,7.247797,1.103784,80000,20000,80000,512,80512,0,0,32,0,32,80544,100.000000,99.364070,99.324593
grow,5,50000,50000,99.955829,98.538482,98.505340,15.866240,132096,10.673920,1.451756,100.000000,50.000000,99.610895,2.941176,16,8.705506,1.837917,200000,50000,200000,1024,201024,0,0,64,0,64,201088,100.000000,99.490608,99.458943
shrink,5,50000,50000,99.910188,97.503176,97.481134,7.444640,16384,15.833840,2.244596,100.000000,25.000000,99.490608,1.470588,16,8.705506,1.837917,200000,50000,200000,1024,201024,0,0,64,0,64,201088,100.000000,99.490608,99.458943
grow,5,100000,100000,99.972716,99.087290,99.068804,13.648320,132096,13.336960,1.577178,100.000000,50.000000,99.744654,2.941176,16,10.000000,1.600000,400000,100000,400000,1024,401024,0,0,64,0,64,401088,100.000000,99.744654,99.728738
shrink,5,100000,100000,99.949896,98.569637,98.556661,7.562320,16384,15.916920,1.973599,100.000000,25.000000,99.744654,1.470588,16,10.000000,1.600000,400000,100000,400000,1024,401024,0,0,64,0,64,401088,100.000000,99.744654,99.728738
grow,5,200000,200000,99.983759,99.452496,99.442132,13.772960,262144,14.668480,1.529690,100.000000,50.000000,99.872164,2.941176,16,11.486984,1.392881,800000,200000,800000,1024,801024,0,0,64,0,64,801088,100.000000,99.872164,99.864185
shrink,5,200000,200000,99.972349,99.193670,99.185975,8.855080,262144,15.958460,1.727900,100.000000,25.000000,99.872164,1.470588,16,11.486984,1.392881,800000,200000,800000,1024,801024,0,0,64,0,64,801088,100.000000,99.872164,99.864185
grow,5,500000,500000,99.992129,99.732752,99.727923,14.859584,262144,15.467392,1.364995,100.000000,50.000000,99.948826,2.941176,16,13.797297,1.159647,2000000,500000,2000000,1024,2001024,0,0,64,0,64,2001088,100.000000,99.948826,99.945630
shrink,5,500000,500000,99.987565,99.629221,99.625417,10.642448,262144,15.983384,1.444279,100.000000,25.000000,99.948826,1.470588,16,13.797297,1.159647,2000000,500000,2000000,1024,2001024,0,0,64,0,64,2001088,100.000000,99.948826,99.945630
grow,5,1000000,1000000,99.995545,99.848118,99.845444,15.160032,262144,15.733696,1.219632,100.000000,50.000000,99.974407,2.941176,16,15.848932,1.009532,4000000,1000000,4000000,1024,4001024,0,0,64,0,64,4001088,100.000000,99.974407,99.972807
shrink,5,1000000,1000000,99.993263,99.796353,99.794184,11.176456,262144,15.991692,1.259274,100.000000,25.000000,99.974407,1.470588,16,15.848932,1.009532,4000000,1000000,4000000,1024,4001024,0,0,64,0,64,4001088,100.000000,99.974407,99.972807
grow,5,2000000,2000000,99.997254,99.906410,99.904947,15.537616,4196352,23.478240,1.520620,100.000000,50.000000,99.975592,2.941176,32,18.205642,1.757697,8000000,2000000,8000000,2048,8002048,0,0,128,0,128,8002176,100.000000,99.974407,99.972807
shrink,5,2000000,2000000,99.994727,99.835085,99.834022,7.793412,132096,31.733710,2.154842,100.000000,25.000000,99.974407,1.470588,32,18.205642,1.757697,8000000,2000000,8000000,2048,8002048,0,0,128,0,128,8002176,100.000000,99.974407,99.972807
grow,5,5000000,5000000,99.998618,99.952899,99.952245,15.713798,4196352,28.591296,1.558620,100.000000,50.000000,99.989761,2.941176,32,21.867241,1.463376,20000000,5000000,20000000,2048,20002048,0,0,128,0,128,20002176,100.000000,99.989761,99.989121
shrink,5,5000000,5000000,99.997607,99.924369,99.923869,10.291099,4194304,31.893484,1.812308,100.000000,25.000000,99.989761,1.470588,32,21.867241,1.463376,20000000,5000000,20000000,2048,20002048,0,0,128,0,128,20002176,100.000000,99.989761,99.989121
grow,5,10000000,10000000,99.999201,99.972793,99.972440,15.768822,4196352,30.295648,1.457128,100.000000,50.000000,99.994880,2.941176,32,25.118864,1.273943,40000000,10000000,40000000,2048,40002048,0,0,128,0,128,40002176,100.000000,99.994880,99.994560
shrink,5,10000000,10000000,99.998696,99.958528,99.958251,11.119975,4194304,31.946742,1.583973,100.000000,25.000000,99.994880,1.470588,32,25.118864,1.273943,40000000,10000000,40000000,2048,40002048,0,0,128,0,128,40002176,100.000000,99.994880,99.994560
grow,6,1000,1000,99.389083,79.867895,79.396429,11.792000,1024,3.872000,1.439853,100.000000,50.000000,92.592593,2.380952,4,3.162278,1.264911,4000,1000,4000,320,4320,0,0,16,0,16,4336,100.000000,92.592593,92.250923
shrink,6,1000,1000,99.084899,78.975048,78.558495,8.296000,1024,4.000000,1.515779,100.000000,25.000000,92.592593,1.190476,4,3.162278,1.264911,4000,1000,4000,320,4320,0,0,16,0,16,4336,100.000000,92.592593,92.250923
grow,6,2000,2000,99.642631,87.266789,86.937257,12.360000,1024,3.936000,1.313234,100.000000,50.000000,96.153846,2.380952,4,3.549537,1.126908,8000,2000,8000,320,8320,0,0,64,0,64,8384,100.000000,96.153846,95.419847
shrink,6,2000,2000,99.490538,86.820366,86.512048,9.108000,1024,4.000000,1.351198,100.000000,25.000000,96.153846,1.190476,4,3.549537,1.126908,8000,2000,8000,320,8320,0,0,64,0,64,8384,100.000000,96.153846,95.419847
grow,6,5000,5000,99.821614,93.142129,92.941457,17.068800,17024,4.697600,1.322859,100.000000,50.000000,98.084291,2.380952,8,4.135186,1.934617,20000,5000,20000,640,20640,0,0,32,0,32,20672,100.000000,96.899225,96.749226
shrink,6,5000,5000,99.597724,88.853981,88.735716,6.932800,2048,7.949600,2.290665,100.000000,25.000000,96.899225,1.190476,8,4.135186,1.934617,20000,5000,20000,640,20640,0,0,32,0,32,20672,100.000000,96.899225,96.749226
grow,6,10000,10000,99.886561,95.463940,95.343365,15.507200,17024,6.348800,1.568906,100.000000,50.000000,98.425197,2.380952,8,4.641589,1.723548,40000,10000,40000,640,40640,0,0,32,0,32,40672,100.000000,98.425197,98.347758
shrink,6,10000,10000,99.774616,93.319866,93.238740,8.688800,16384,7.974800,2.052809,100.000000,25.000000,98.425197,1.190476,8,4.641589,1.723548,40000,10000,40000,640,40640,0,0,32,0,32,40672,100.000000,98.425197,98.347758
grow,6,20000,20000,99.931154,97.171944,97.100806,14.636800,17024,7.174400,1.592928,100.000000,50.000000,99.206349,2.380952,8,5.210007,1.535506,80000,20000,80000,640,80640,0,0,32,0,32,80672,100.000000,99.206349,99.166997
shrink,6,20000,20000,99.875181,96.099907,96.047755,9.477200,16384,7.987400,1.834879,100.000000,25.000000,99.206349,1.190476,8,5.210007,1.535506,80000,20000,80000,640,80640,0,0,32,0,32,80672,100.000000,99.206349,99.166997
grow,6,50000,50000,99.966048,98.570750,98.535976,14.477440,17024,7.669760,1.481773,100.000000,50.000000,99.681021,2.380952,8,6.069622,1.318039,200000,50000,200000,640,200640,0,0,32,0,32,200672,100.000000,99.681021,99.665125
shrink,6,50000,50000,99.943659,98.141935,98.114483,10.313760,16384,7.994960,1.578553,100.000000,25.000000,99.681021,1.190476,8,6.069622,1.318039,200000,50000,200000,640,200640,0,0,32,0,32,200672,100.000000,99.681021,99.665125
grow,6,100000,100000,99.980598,99.172313,99.152175,15.754880,131072,7.834880,1.359149,100.000000,50.000000,99.840256,2.380952,8,6.812921,1.174239,400000,100000,400000,640,400640,0,0,32,0,32,400672,100.000000,99.840256,99.832282
shrink,6,100000,100000,99.969404,98.957906,98.941242,11.922960,131072,7.997480,1.407540,100.000000,25.000000,99.840256,1.190476,8,6.812921,1.174239,400000,100000,400000,640,400640,0,0,32,0,32,400672,100.000000,99.840256,99.832282
grow,6,200000,200000,99.989086,99.529559,99.518009,16.814720,131072,7.917440,1.230385,100.000000,50.000000,99.920064,2.380952,8,7.647245,1.046128,800000,200000,800000,640,800640,0,0,256,0,256,800896,100.000000,99.920064,99.888125
shrink,6,200000,200000,99.983489,99.422355,99.412450,13.148680,131072,7.998740,1.254580,100.000000,25.000000,99.920064,1.190476,8,7.647245,1.046128,800000,200000,800000,640,800640,0,0,256,0,256,800896,100.000000,99.920064,99.888125
grow,6,500000,500000,99.994477,99.760727,99.755284,18.514496,1049856,11.772672,1.515994,100.000000,50.000000,99.939002,2.380952,16,8.908987,1.795939,2000000,500000,2000000,1280,2001280,0,0,64,0,64,2001344,100.000000,99.936041,99.932845
shrink,6,500000,500000,99.988913,99.585127,99.581178,10.658256,262144,15.933976,2.135159,100.000000,25.000000,99.936041,1.190476,16,8.908987,1.795939,2000000,500000,2000000,1280,2001280,0,0,64,0,64,2001344,100.000000,99.936041,99.932845
grow,6,1000000,1000000,99.996718,99.857673,99.854692,16.987488,1049856,13.886336,1.600433,100.000000,50.000000,99.968010,2.380952,16,10.000000,1.600000,4000000,1000000,4000000,1280,4001280,0,0,64,0,64,4001344,100.000000,99.968010,99.966411
shrink,6,1000000,1000000,99.993937,99.769874,99.767632,11.184360,262144,15.966988,1.910016,100.000000,25.000000,99.968010,1.190476,16,10.000000,1.600000,4000000,1000000,4000000,1280,4001280,0,0,64,0,64,4001344,100.000000,99.968010,99.966411
grow,6,2000000,2000000,99.998099,99.917489,99.915869,16.085744,1049856,14.943168,1.550742,100.000000,50.000000,99.984003,2.380952,16,11.224620,1.425438,8000000,2000000,8000000,1280,8001280,0,0,64,0,64,8001344,100.000000,99.984003,99.983203
shrink,6,2000000,2000000,99.996708,99.873589,99.872337,11.309172,262144,15.983494,1.705534,100.000000,25.000000,99.984003,1.190476,16,11.224620,1.425438,8000000,2000000,8000000,1280,8001280,0,0,64,0,64,8001344,100.000000,99.984003,99.983203
