phase,r,targetN,sampled_states,avg_capacity_util,avg_byte_util,avg_total_byte_util_worst,avg_transient_extra_bytes,max_transient_extra_bytes,avg_B,avg_B_over_N_1_over_r,max_capacity_util,min_capacity_util,max_byte_util,min_byte_util,B_at_targetN,N_1_over_r_est_at_targetN,B_over_N_1_over_r_at_targetN,payload_bytes_at_targetN,capacity_slots_at_targetN,capacity_bytes_at_targetN,pointer_bytes_at_targetN,resident_bytes_at_targetN,slack_slots_at_targetN,slack_bytes_at_targetN,next_grow_extra_bytes_at_targetN,next_shrink_extra_bytes_at_targetN,adjust_worst_bytes_at_targetN,total_worst_bytes_at_targetN,capacity_util_at_targetN,byte_util_at_targetN,total_byte_util_worst_at_targetN
grow,6,5000000,5000000,99.999102,99.960995,99.960263,17.953338,4194304,15.577267,1.404358,100.000000,50.000000,99.993600,2.380952,16,13.076605,1.223559,20000000,5000000,20000000,1280,20001280,0,0,64,0,64,20001344,100.000000,99.993600,99.993280
shrink,6,5000000,5000000,99.998546,99.943435,99.942844,13.792712,4194304,15.993398,1.466274,100.000000,25.000000,99.993600,1.190476,16,13.076605,1.223559,20000000,5000000,20000000,1280,20001280,0,0,64,0,64,20001344,100.000000,99.993600,99.993280
grow,6,10000000,10000000,99.999499,99.978227,99.977829,18.560957,4194304,15.788634,1.276124,100.000000,50.000000,99.996800,2.380952,16,14.677993,1.090067,40000000,10000000,40000000,1280,40001280,0,0,64,0,64,40001344,100.000000,99.996800,99.996640
shrink,6,10000000,10000000,99.999221,99.969447,99.969119,14.605642,4194304,15.996699,1.307082,100.000000,25.000000,99.996800,1.190476,16,14.677993,1.090067,40000000,10000000,40000000,1280,40001280,0,0,64,0,64,40001344,100.000000,99.996800,99.996640
grow,7,1000,1000,99.456478,78.359506,77.872090,12.368000,1024,3.744000,1.589146,100.000000,50.000000,91.240876,2.000000,4,2.682696,1.491037,4000,1000,4000,384,4384,0,0,16,0,16,4400,100.000000,91.240876,90.909091
shrink,7,1000,1000,99.084899,76.441959,76.059657,8.328000,1024,4.000000,1.737669,100.000000,25.000000,91.240876,1.000000,4,2.682696,1.491037,4000,1000,4000,384,4384,0,0,16,0,16,4400,100.000000,91.240876,90.909091
grow,7,2000,2000,99.676328,86.023221,85.687637,12.648000,1024,3.872000,1.500312,100.000000,50.000000,95.419847,2.000000,4,2.961936,1.350468,8000,2000,8000,384,8384,0,0,64,0,64,8448,100.000000,95.419847,94.696970
shrink,7,2000,2000,99.490538,85.064448,84.775480,9.124000,1024,4.000000,1.574573,100.000000,25.000000,95.419847,1.000000,4,2.961936,1.350468,8000,2000,8000,384,8384,0,0,64,0,64,8448,100.000000,95.419847,94.696970
grow,7,5000,5000,99.843061,92.677954,92.481223,14.601600,4096,3.948800,1.352127,100.000000,50.000000,98.116170,2.000000,4,3.376170,1.184775,20000,5000,20000,384,20384,0,0,16,0,16,20400,100.000000,98.116170,98.039216
shrink,7,5000,5000,99.768745,92.294445,92.110634,11.393600,4096,4.000000,1.381831,100.000000,25.000000,98.116170,1.000000,4,3.376170,1.184775,20000,5000,20000,384,20384,0,0,16,0,16,20400,100.000000,98.116170,98.039216
grow,7,10000,10000,99.911136,95.672575,95.548231,15.368000,4096,3.974400,1.236864,100.000000,50.000000,99.049128,2.000000,4,3.727594,1.073078,40000,10000,40000,384,40384,0,0,64,0,64,40448,100.000000,99.049128,98.892405
shrink,7,10000,10000,99.873978,95.480821,95.361581,12.263200,4096,4.000000,1.251716,100.000000,25.000000,99.049128,1.000000,4,3.727594,1.073078,40000,10000,40000,384,40384,0,0,64,0,64,40448,100.000000,99.049128,98.892405
grow,7,20000,20000,99.948377,97.404598,97.325427,19.996800,66304,4.710400,1.304529,100.000000,50.000000,99.417476,2.000000,8,4.115597,1.943825,80000,20000,80000,768,80768,0,0,32,0,32,80800,100.000000,99.049128,99.009901
shrink,7,20000,20000,99.881698,95.552341,95.501115,9.494800,16384,7.974600,2.252830,100.000000,25.000000,99.049128,1.000000,8,4.115597,1.943825,80000,20000,80000,768,80768,0,0,32,0,32,80800,100.000000,99.049128,99.009901
grow,7,50000,50000,99.972937,98.605853,98.567878,16.621440,66304,6.684160,1.604243,100.000000,50.000000,99.617469,2.000000,8,4.691173,1.705330,200000,50000,200000,768,200768,0,0,32,0,32,200800,100.000000,99.617469,99.601594
shrink,7,50000,50000,99.946266,97.864950,97.837883,10.320800,16384,7.989840,1.983564,100.000000,25.000000,99.617469,1.000000,8,4.691173,1.705330,200000,50000,200000,768,200768,0,0,32,0,32,200800,100.000000,99.617469,99.601594
grow,7,100000,100000,99.984043,99.167798,99.146063,16.826880,131072,7.342080,1.609329,100.000000,50.000000,99.808368,2.000000,8,5.179475,1.544558,400000,100000,400000,768,400768,0,0,32,0,32,400800,100.000000,99.808368,99.800399
shrink,7,100000,100000,99.970707,98.797347,98.780878,11.926480,131072,7.994920,1.798989,100.000000,25.000000,99.808368,1.000000,8,5.179475,1.544558,400000,100000,400000,768,400768,0,0,32,0,32,400800,100.000000,99.808368,99.800399
grow,7,200000,200000,99.990808,99.516240,99.503891,17.350720,131072,7.671040,1.535772,100.000000,50.000000,99.904092,2.000000,8,5.718604,1.398943,800000,200000,800000,768,800768,0,0,256,0,256,801024,100.000000,99.904092,99.872164
shrink,7,200000,200000,99.984141,99.331014,99.321207,13.150440,131072,7.997460,1.630602,100.000000,25.000000,99.904092,1.000000,8,5.718604,1.398943,800000,200000,800000,768,800768,0,0,256,0,256,801024,100.000000,99.904092,99.872164
grow,7,500000,500000,99.995682,99.770692,99.764947,17.698176,131072,7.868416,1.393321,100.000000,50.000000,99.961615,2.000000,8,6.518363,1.227302,2000000,500000,2000000,768,2000768,0,0,32,0,32,2000800,100.000000,99.961615,99.960016
shrink,7,500000,500000,99.993015,99.696602,99.691849,13.918096,131072,7.998984,1.431253,100.000000,25.000000,99.961615,1.000000,8,6.518363,1.227302,2000000,500000,2000000,768,2000768,0,0,32,0,32,2000800,100.000000,99.961615,99.960016
grow,7,1000000,1000000,99.997598,99.871799,99.868570,19.766976,1048576,7.934208,1.277597,100.000000,50.000000,99.980804,2.000000,8,7.196857,1.111596,4000000,1000000,4000000,768,4000768,0,0,256,0,256,4001024,100.000000,99.980804,99.974407
shrink,7,1000000,1000000,99.996265,99.834754,99.831995,16.126920,1048576,7.999492,1.296563,100.000000,25.000000,99.980804,1.000000,8,7.196857,1.111596,4000000,1000000,4000000,768,4000768,0,0,256,0,256,4001024,100.000000,99.980804,99.974407
grow,7,2000000,2000000,99.998678,99.929125,99.927330,20.687696,1048576,7.967104,1.164966,100.000000,50.000000,99.990401,2.000000,8,7.945974,1.006799,8000000,2000000,8000000,768,8000768,0,0,16384,0,16384,8017152,100.000000,99.990401,99.786059
shrink,7,2000000,2000000,99.998011,99.910602,99.909035,17.117668,1048576,7.999746,1.174449,100.000000,25.000000,99.990401,1.000000,8,7.945974,1.006799,8000000,2000000,8000000,768,8000768,0,0,16384,0,16384,8017152,100.000000,99.990401,99.786059
grow,7,5000000,5000000,99.999338,99.964662,99.963850,21.553094,8390144,12.631398,1.567778,100.000000,50.000000,99.992321,2.000000,16,9.057237,1.766543,20000000,5000000,20000000,1536,20001536,0,0,64,0,64,20001600,100.000000,99.992321,99.992001
shrink,7,5000000,5000000,99.998683,99.938370,99.937759,13.807758,4194304,15.973686,2.053262,100.000000,25.000000,99.992321,1.000000,16,9.057237,1.766543,20000000,5000000,20000000,1536,20001536,0,0,64,0,64,20001600,100.000000,99.992321,99.992001
grow,7,10000000,10000000,99.999617,99.979618,99.979179,20.360835,8390144,14.315699,1.620072,100.000000,50.000000,99.996160,2.000000,16,10.000000,1.600000,40000000,10000000,40000000,1536,40001536,0,0,64,0,64,40001600,100.000000,99.996160,99.996000
shrink,7,10000000,10000000,99.999289,99.966472,99.966133,14.613166,4194304,15.986843,1.862814,100.000000,25.000000,99.996160,1.000000,16,10.000000,1.600000,40000000,10000000,40000000,1536,40001536,0,0,64,0,64,40001600,100.000000,99.996160,99.996000
grow,8,1000,1000,99.524825,77.867444,77.350526,13.328000,1472,3.488000,1.634262,100.000000,50.000000,89.928058,1.724138,4,2.371374,1.686786,4000,1000,4000,448,4448,0,0,16,0,16,4464,100.000000,89.928058,89.605735
shrink,8,1000,1000,99.084899,74.128092,73.774619,8.360000,1024,4.000000,1.926068,100.000000,25.000000,89.928058,0.862069,4,2.371374,1.686786,4000,1000,4000,448,4448,0,0,16,0,16,4464,100.000000,89.928058,89.605735
grow,8,2000,2000,99.710501,85.298179,84.949705,13.128000,1472,3.744000,1.620978,100.000000,50.000000,94.696970,1.724138,4,2.586001,1.546790,8000,2000,8000,448,8448,0,0,64,0,64,8512,100.000000,94.696970,93.984962
shrink,8,2000,2000,99.490538,83.428503,83.156097,9.140000,1024,4.000000,1.766881,100.000000,25.000000,94.696970,0.862069,4,2.586001,1.546790,8000,2000,8000,448,8448,0,0,64,0,64,8512,100.000000,94.696970,93.984962
grow,8,5000,5000,99.856730,92.113954,91.912663,14.793600,4096,3.897600,1.517722,100.000000,50.000000,97.809077,1.724138,4,2.899821,1.379395,20000,5000,20000,448,20448,0,0,16,0,16,20464,100.000000,97.809077,97.732604
shrink,8,5000,5000,99.768745,91.366083,91.189642,11.400000,4096,4.000000,1.576083,100.000000,25.000000,97.809077,0.862069,4,2.899821,1.379395,20000,5000,20000,448,20448,0,0,16,0,16,20464,100.000000,97.809077,97.732604
grow,8,10000,10000,99.917971,95.282976,95.156467,15.464000,4096,3.948800,1.416242,100.000000,50.000000,98.892405,1.724138,4,3.162278,1.264911,40000,10000,40000,448,40448,0,0,64,0,64,40512,100.000000,98.892405,98.736177
shrink,8,10000,10000,99.873978,94.909041,94.793615,12.266400,4096,4.000000,1.445423,100.000000,25.000000,98.892405,0.862069,4,3.162278,1.264911,40000,10000,40000,448,40448,0,0,64,0,64,40512,100.000000,98.892405,98.736177
grow,8,20000,20000,99.953787,97.251335,97.172638,17.452800,16384,3.974400,1.310945,100.000000,50.000000,99.443119,1.724138,4,3.448488,1.159929,80000,20000,80000,448,80448,0,0,256,0,256,80704,100.000000,99.443119,99.127676
shrink,8,20000,20000,99.931791,97.064367,96.989755,14.354000,16384,4.000000,1.325535,100.000000,25.000000,99.443119,0.862069,4,3.448488,1.159929,80000,20000,80000,448,80448,0,0,256,0,256,80704,100.000000,99.443119,99.127676
grow,8,50000,50000,99.978766,98.693309,98.653129,19.325760,65536,3.989760,1.176296,100.000000,50.000000,99.776501,1.724138,4,3.866974,1.034401,200000,50000,200000,448,200448,0,0,64,0,64,200512,100.000000,99.776501,99.744654
shrink,8,50000,50000,99.969968,98.618522,98.579412,16.286240,65536,4.000000,1.182132,100.000000,25.000000,99.776501,0.862069,4,3.866974,1.034401,200000,50000,200000,448,200448,0,0,64,0,64,200512,100.000000,99.776501,99.744654
grow,8,100000,100000,99.987498,99.220143,99.196360,21.998720,263040,5.373440,1.416191,100.000000,50.000000,99.829393,1.724138,8,4.216965,1.897099,400000,100000,400000,896,400896,0,0,32,0,32,400928,100.000000,99.776501,99.768537
shrink,8,100000,100000,99.972051,98.652937,98.636403,11.936400,131072,7.989800,2.162256,100.000000,25.000000,99.776501,0.862069,8,4.216965,1.897099,400000,100000,400000,896,400896,0,0,32,0,32,400928,100.000000,99.776501,99.768537
grow,8,200000,200000,99.992536,99.531355,99.517984,19.936640,263040,6.686720,1.612207,100.000000,50.000000,99.888125,1.724138,8,4.598633,1.739647,800000,200000,800000,896,800896,0,0,256,0,256,801152,100.000000,99.888125,99.856207
shrink,8,200000,200000,99.984813,99.247753,99.237914,13.155400,131072,7.994900,1.985239,100.000000,25.000000,99.888125,0.862069,8,4.598633,1.739647,800000,200000,800000,896,800896,0,0,256,0,256,801152,100.000000,99.888125,99.856207
grow,8,500000,500000,99.996373,99.770882,99.764728,18.732544,263040,7.474688,1.622623,100.000000,50.000000,99.955220,1.724138,8,5.156693,1.551382,2000000,500000,2000000,896,2000896,0,0,32,0,32,2000928,100.000000,99.955220,99.953622
shrink,8,500000,500000,99.993284,99.657441,99.652676,13.920080,131072,7.997960,1.771836,100.000000,25.000000,99.955220,0.862069,8,5.156693,1.551382,2000000,500000,2000000,896,2000896,0,0,32,0,32,2000928,100.000000,99.955220,99.953622
grow,8,1000000,1000000,99.997944,99.869677,99.866244,20.284160,1048576,7.737344,1.550663,100.000000,50.000000,99.977605,1.724138,8,5.623413,1.422624,4000000,1000000,4000000,896,4000896,0,0,256,0,256,4001152,100.000000,99.977605,99.971208
shrink,8,1000000,1000000,99.996399,99.812957,99.810192,16.127912,1048576,7.998980,1.625269,100.000000,25.000000,99.977605,0.862069,8,5.623413,1.422624,4000000,1000000,4000000,896,4000896,0,0,256,0,256,4001152,100.000000,99.977605,99.971208
grow,8,2000000,2000000,99.998851,99.926955,99.925058,20.946288,1048576,7.868672,1.453320,100.000000,50.000000,99.988801,1.724138,8,6.132376,1.304552,8000000,2000000,8000000,896,8000896,0,0,16384,0,16384,8017280,100.000000,99.988801,99.784466
shrink,8,2000000,2000000,99.998078,99.898595,99.897025,17.118164,1048576,7.999490,1.490623,100.000000,25.000000,99.988801,0.862069,8,6.132376,1.304552,8000000,2000000,8000000,896,8000896,0,0,16384,0,16384,8017280,100.000000,99.988801,99.784466
grow,8,5000000,5000000,99.999476,99.966613,99.965753,22.677171,8388608,7.947469,1.314530,100.000000,50.000000,99.995520,1.724138,8,6.876560,1.163372,20000000,5000000,20000000,896,20000896,0,0,256,0,256,20001152,100.000000,99.995520,99.994240
shrink,8,5000000,5000000,99.999167,99.955269,99.954535,19.045922,8388608,7.999796,1.329451,100.000000,25.000000,99.995520,0.862069,8,6.876560,1.163372,20000000,5000000,20000000,896,20000896,0,0,256,0,256,20001152,100.000000,99.995520,99.994240
grow,8,10000000,10000000,99.999714,99.981730,99.981259,23.543421,8388608,7.973734,1.211700,100.000000,50.000000,99.997760,1.724138,8,7.498942,1.066817,40000000,10000000,40000000,896,40000896,0,0,2048,0,2048,40002944,100.000000,99.997760,99.992641
shrink,8,10000000,10000000,99.999559,99.976058,99.975649,19.977796,8388608,7.999898,1.219161,100.000000,25.000000,99.997760,0.862069,8,7.498942,1.066817,40000000,10000000,40000000,896,40000896,0,0,2048,0,2048,40002944,100.000000,99.997760,99.992641
